"Scope","Rule","Severity","Count","ExampleFile","ExampleLine","ExampleMessage"
"Vendor/generated/other","MoveVariableDeclarationInsideLoopCondition","note","1","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/ReliableChannel.cs","300","Variable 'p' can be declared inside loop condition"
"Vendor/generated/other","NonReadonlyMemberInGetHashCode","warning","4","Assets/FishNet/Runtime/Connection/NetworkConnection.cs","242","Non-readonly field referenced in 'GetHashCode()'"
"First-party","NonReadonlyMemberInGetHashCode","warning","3","Assets/Game/Runtime/Avatars/Appearance/AvatarAppearance.cs","36","Non-readonly serialised field referenced in 'GetHashCode()'"
"Vendor/generated/other","NotAccessedField.Compiler","warning","1","Assets/FishNet/CodeGenerating/Helpers/Typed/SyncIndexData.cs","11","Field 'SyncCount' is assigned but its value is never used"
"Vendor/generated/other","NotAccessedField.Global","note","73","Assets/FishNet/Runtime/Transporting/Transports/Synapse/SynapseSocket/Core/Events/ViolationEventArgs.cs","48","Field 'Action' is assigned but its value is never used"
"First-party","NotAccessedField.Global","note","16","Assets/Game/Runtime/Avatars/AvatarPresentation.cs","10","Field 'Carrying' is assigned but its value is never used"
"Vendor/generated/other","NotAccessedField.Local","warning","19","Assets/FishNet/CodeGenerating/Processing/Rpc/RpcProcessor.cs","30","Field 'MethodHash' is assigned but its value is never used"
"First-party","NotAccessedField.Local","warning","6","Assets/Game/Runtime/Birds/BirdRegistry.Network.cs","14","Field 'Sequence' is assigned but its value is never used"
"Vendor/generated/other","NotAccessedOutParameterVariable","warning","3","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","1111","Local variable 'created' is only used to discard 'out' parameter value"
"Vendor/generated/other","NotAccessedVariable","warning","4","Assets/FishNet/Runtime/Observing/Conditions/GridCondition/HashGrid.cs","179","Local variable 'iterations' is only assigned but its value is never used"
"Vendor/generated/other","OutParameterValueIsAlwaysDiscarded.Global","note","4","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","547","Parameter 'alreadyCreated' output value is always discarded"
"Vendor/generated/other","OutParameterValueIsAlwaysDiscarded.Local","warning","1","Assets/FishNet/Runtime/Managing/NetworkManager.ObjectPooling.cs","131","Parameter 'nob' output value is always discarded"
"Vendor/generated/other","ParameterHidesMember","warning","101","Assets/_3rdParty/LeanTween/Framework/LeanTween.cs","3828","Parameter 'alpha' hides serialised field 'LTRect.alpha'"
"First-party","ParameterHidesMember","warning","12","Assets/Game/Runtime/Projectiles/PebbleProjectile.cs","51","Parameter 'definition' hides field 'TwoBirds.PebbleProjectile.definition'"
"Vendor/generated/other","PartialTypeWithSinglePart","warning","5","Assets/FishNet/Runtime/Generated/Component/Prediction/OfflineRigidbody.cs","6","Partial class with single part"
"Vendor/generated/other","PossibleInvalidOperationException","warning","14","Assets/FishNet/Runtime/Managing/Client/Object/ClientObjects.cs","581","Possible 'System.InvalidOperationException'"
"Vendor/generated/other","PossibleLossOfFraction","warning","2","Assets/FishNet/Runtime/Serializing/WriterPool.cs","214","Possible loss of fraction"
"First-party","PossibleLossOfFraction","warning","1","Assets/Game/Runtime/Inventory/PlayerInventory.cs","209","Possible loss of fraction"
"Vendor/generated/other","PossibleNullReferenceException","warning","69","Assets/FishNet/CodeGenerating/Helpers/Extension/ModuleDefinitionExtensions.cs","53","Possible 'System.NullReferenceException'"
"First-party","PossibleNullReferenceException","warning","12","Assets/Game/Editor/AvatarProcessor.cs","867","Possible 'System.NullReferenceException'"
"Vendor/generated/other","PossibleUnintendedReferenceComparison","warning","6","Assets/FishNet/Runtime/Object/Synchronizing/SyncHashset.cs","557","Possible unintended reference comparison. To get a value comparison, use 'Equals' method."
"Vendor/generated/other","PossiblyImpureMethodCallOnReadonlyVariable","warning","1","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/PortablePdb.cs","365","Possibly impure struct method called on readonly variable: struct value always copied before invocation"
"First-party","PossiblyImpureMethodCallOnReadonlyVariable","warning","4","Assets/Game/Runtime/Avatars/AvatarFingerLayers.cs","56","Possibly impure struct method called on readonly variable: struct value always copied before invocation"
"Vendor/generated/other","PreferConcreteValueOverDefault","note","57","Assets/FishNet/Runtime/Generated/Component/NetworkAnimator/NetworkAnimator.cs","1971","Use '0' instead of 'default'"
"Vendor/generated/other","RedundantArgumentDefaultValue","warning","54","Assets/FishNet/Runtime/Object/NetworkBehaviour/NetworkBehaviour.QOL.cs","162","The parameter 'additionalInformation' has the same default value"
"First-party","RedundantArgumentDefaultValue","warning","2","Assets/Game/Runtime/Items/WorldItemRegistry.Motion.cs","26","The parameter 'channel' has the same default value"
"Vendor/generated/other","RedundantAssignment","warning","22","Assets/FishNet/CodeGenerating/Processing/Rpc/RpcProcessor.cs","742","Destination has the same value before assignment"
"First-party","RedundantAssignment","warning","3","Assets/Game/Editor/AvatarProcessor.cs","87","Value assigned is not used in any execution path"
"Vendor/generated/other","RedundantAttributeUsageProperty","note","26","Assets/FishNet/Runtime/CodeGenerating/Attributes.cs","17","Redundant [AttributeUsage] property assignment: provided value is equal to default"
