"Scope","Rule","Severity","Category","File","Line","Message","Title","Impact"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","628","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","628","'LiteNetLib.TooBigPacketException' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","665","'System.ArgumentException' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","735","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","735","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","736","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","736","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","736","'LiteNetLib.TooBigPacketException' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","816","'LiteNetLib.NetPacket' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","865","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","865","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","865","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC1002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPeer.cs","1083","'System.String.Concat' usage","System.String.Concat","Memory"
"Vendor/generated/other","PAC2006","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","'Object' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","Conversion from value type 'Int64' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","Conversion from value type 'Int64' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","Conversion from value type 'Int64' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","Conversion from value type 'Int64' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","Conversion from value type 'Int64' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetStatistics.cs","68","Conversion from value type 'Int64' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","30","'System.Net.IPEndPoint' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC1002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","46","'System.String.Concat' usage","System.String.Concat","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","46","'System.ArgumentException' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","71","'System.Collections.Generic.List`1<System.String>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","189","'T' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","26","'LiteNetLib.NetworkSorter' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetUtils.cs","137","'System.Collections.Generic.List`1<System.String>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/PausedSocketFix.cs","22","'System.Action`1<System.Boolean>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/PausedSocketFix.cs","29","'System.Action`1<System.Boolean>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2006","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/PausedSocketFix.cs","51","'Object' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/PausedSocketFix.cs","51","Conversion from value type 'Int32' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/PausedSocketFix.cs","51","Conversion from value type 'Boolean' to ref type","Boxing Allocation","Memory"
